text,label
img,camera
lens,camera
photo,camera
picture,camera
record,camera
shutter,camera
video,camera
camera,camera
img por la mañana,camera
lens por la mañana,camera
photo por la mañana,camera
picture por la mañana,camera
record por la mañana,camera
shutter por la mañana,camera
video por la mañana,camera
camera por la mañana,camera
img para el viaje,camera
lens para el viaje,camera
photo para el viaje,camera
picture para el viaje,camera
record para el viaje,camera
shutter para el viaje,camera
video para el viaje,camera
camera para el viaje,camera
img mañana,camera
lens mañana,camera
photo mañana,camera
picture mañana,camera
record mañana,camera
shutter mañana,camera
video mañana,camera
camera mañana,camera
img para el sábado,camera
lens para el sábado,camera
photo para el sábado,camera
picture para el sábado,camera
record para el sábado,camera
shutter para el sábado,camera
video para el sábado,camera
camera para el sábado,camera
encontrar img,camera
encontrar lens,camera
encontrar photo,camera
encontrar picture,camera
encontrar record,camera
encontrar shutter,camera
encontrar video,camera
encontrar camera,camera
empezar img,camera
empezar lens,camera
empezar photo,camera
empezar picture,camera
empezar record,camera
empezar shutter,camera
empezar video,camera
picutre mañana,camera
pitcure mañana,camera
shuter para el sábado,camera
empezar phoo,camera
empeza lens,camera
