text,label
bar,soap
bathing,soap
bubbles,soap
clean,soap
cleaning,soap
covid-19,soap
hygiene,soap
lather,soap
soap,soap
soapdish,soap
wash,soap
empezar bar,soap
empezar bathing,soap
empezar bubbles,soap
empezar clean,soap
empezar cleaning,soap
empezar covid-19,soap
empezar hygiene,soap
empezar lather,soap
empezar soap,soap
empezar soapdish,soap
empezar wash,soap
bar por la noche,soap
bathing por la noche,soap
bubbles por la noche,soap
clean por la noche,soap
cleaning por la noche,soap
covid-19 por la noche,soap
hygiene por la noche,soap
lather por la noche,soap
soap por la noche,soap
soapdish por la noche,soap
wash por la noche,soap
bar después del trabajo,soap
bathing después del trabajo,soap
bubbles después del trabajo,soap
clean después del trabajo,soap
cleaning después del trabajo,soap
covid-19 después del trabajo,soap
hygiene después del trabajo,soap
lather después del trabajo,soap
soap después del trabajo,soap
soapdish después del trabajo,soap
wash después del trabajo,soap
reemplazar bar,soap
reemplazar bathing,soap
reemplazar bubbles,soap
reemplazar clean,soap
reemplazar cleaning,soap
reemplazar covid-19,soap
reemplazar hygiene,soap
reemplazar lather,soap
reemplazar soap,soap
reemplazar soapdish,soap
reemplazar wash,soap
reemplazra soapdish,soap
covid-19 después del trabaajo,soap
reemplazar hgiene,soap
reemplzar bar,soap
empezra bathing,soap
