text,label
billfold,wallet
cash,wallet
currency,wallet
money,wallet
salary,wallet
wallet,wallet
nuevo billfold,wallet
nuevo cash,wallet
nuevo currency,wallet
nuevo money,wallet
nuevo salary,wallet
nuevo wallet,wallet
billfold cita,wallet
cash cita,wallet
currency cita,wallet
money cita,wallet
salary cita,wallet
wallet cita,wallet
billfold por la mañana,wallet
cash por la mañana,wallet
currency por la mañana,wallet
money por la mañana,wallet
salary por la mañana,wallet
wallet por la mañana,wallet
billfold mañana,wallet
cash mañana,wallet
currency mañana,wallet
money mañana,wallet
salary mañana,wallet
wallet mañana,wallet
terminar billfold,wallet
terminar cash,wallet
terminar currency,wallet
terminar money,wallet
terminar salary,wallet
terminar wallet,wallet
pedir billfold,wallet
pedir cash,wallet
pedir currency,wallet
pedir money,wallet
pedir salary,wallet
pedir wallet,wallet
billfold después del trabajo,wallet
cash después del trabajo,wallet
currency después del trabajo,wallet
money después del trabajo,wallet
salary después del trabajo,wallet
wallet después del trabajo,wallet
billfold para los niños,wallet
cash para los niños,wallet
currency para los niños,wallet
money para los niños,wallet
salary para los niños,wallet
wallet para los niños,wallet
no olvidar billfold,wallet
nuevo cassh,wallet
walet por la mañana,wallet
cash para loos niños,wallet
saalry por la mañana,wallet
billfold semanal,wallet
