text,label
adults,family
child,family
famil,family
family,family
folk,family
kid,family
parent,family
together,family
uer,family
adults après le travail,family
child après le travail,family
famil après le travail,family
family après le travail,family
folk après le travail,family
kid après le travail,family
parent après le travail,family
together après le travail,family
uer après le travail,family
adults hebdomadaire,family
child hebdomadaire,family
famil hebdomadaire,family
family hebdomadaire,family
folk hebdomadaire,family
kid hebdomadaire,family
parent hebdomadaire,family
together hebdomadaire,family
uer hebdomadaire,family
adults pour le voyage,family
child pour le voyage,family
famil pour le voyage,family
family pour le voyage,family
folk pour le voyage,family
kid pour le voyage,family
parent pour le voyage,family
together pour le voyage,family
uer pour le voyage,family
adults demain,family
child demain,family
famil demain,family
family demain,family
folk demain,family
kid demain,family
parent demain,family
together demain,family
uer demain,family
adults le matin,family
child le matin,family
famil le matin,family
family le matin,family
folk le matin,family
kid le matin,family
parent le matin,family
together le matin,family
uer le matin,family
adults aujourd'hui,family
together après le travvail,family
parent hedomadaire,family
fammil après le travail,family
aduts demain,family
faiml pour le voyage,family
