text,label
ice hockey,hockey-stick
puck,hockey-stick
stick,hockey-stick
hockey stick used in the game,hockey-stick
ice hockey game with stick and puck,hockey-stick
hockey stick used in the rink,hockey-stick
hockey player holding the stick,hockey-stick
ice hockey stick on the rink,hockey-stick
stick used on the ice,hockey-stick
ice hockey stick and puck,hockey-stick
ice hockey game with the stick,hockey-stick
NHL hockey stick for the game,hockey-stick
NHL player swinging the stick,hockey-stick
hockey stick hitting the puck,hockey-stick
puck sent by the stick,hockey-stick
hockey stick for sport,hockey-stick
sport equipment hockey stick,hockey-stick
stick used in hockey,hockey-stick
hockey stick on the ice,hockey-stick
hockey stick and puck on the ice rink,hockey-stick
player holding a hockey stick at the faceoff,hockey-stick
slap shot taken with the hockey stick,hockey-stick
NHL player skating with stick and puck,hockey-stick
goalie blocking with the stick,hockey-stick
hockey stick tape on the blade,hockey-stick
ice hockey team with sticks raised,hockey-stick
hockey stick leaning against the locker,hockey-stick
junior hockey stick for young players,hockey-stick
street hockey played with stick and ball,hockey-stick
I need a hockey stick icon for the sports app,hockey-stick
add a hockey stick to the winter sports section,hockey-stick
show a stick and puck for the ice hockey category,hockey-stick
use the hockey stick icon for the NHL scores,hockey-stick
hocky stick on ice,hockey-stick
iceh ockey puck,hockey-stick
nhol player stick,hockey-stick
hockey sticck blade,hockey-stick
