text,label
frozen,popsicle
ice lolly,popsicle
lollipop,popsicle
lolly,popsicle
popsicle,popsicle
frozen dessert on a wooden stick,popsicle
summer dessert treat for kids,popsicle
frozen treat on a stick for hot days,popsicle
frozen fruit bar on a summer afternoon,popsicle
strawberry ice lolly melting in the sun,popsicle
fruit-flavored ice lolly for kids,popsicle
frozen lollipop ice cream bar,popsicle
colorful lollipop frozen treat,popsicle
orange lolly dripping in the heat,popsicle
icy lolly on a stick outside,popsicle
popsicle melting in summer sun,popsicle
rainbow popsicle with layered flavors,popsicle
sweet frozen confection on a stick,popsicle
sweet icy treat on a summer day,popsicle
colorful frozen treat on a wooden stick,popsicle
strawberry popsicle dripping in the heat,popsicle
classic summertime ice pop dessert,popsicle
fruit-flavored frozen bar wrapped in wrapper,popsicle
grape popsicle leaving purple stains on fingers,popsicle
kids' favorite summer cooling treat,popsicle
layered rainbow frozen ice bar,popsicle
creamy vanilla ice pop on a stick,popsicle
melting popsicle on a warm afternoon,popsicle
assorted frozen lollies in various flavors,popsicle
popsicle meltign in summer heat,popsicle
forzen treat on a wooden stick,popsicle
icy lolly on a stikc outside,popsicle
froze dessert bar for kids,popsicle
dessert,popsicle
sweet,popsicle
weekly dessert,popsicle
weekly frozen,popsicle
weekly ice lolly,popsicle
weekly lollipop,popsicle
weekly lolly,popsicle
weekly popsicle,popsicle
weekly sweet,popsicle
pack dessert for kids,popsicle
pack frozen for kids,popsicle
pack ice lolly for kids,popsicle
pack lollipop for kids,popsicle
pack lolly for kids,popsicle
pack popsicle for kids,popsicle
pack sweet for kids,popsicle
dessert on Monday,popsicle
frozen on Monday,popsicle
ice lolly on Monday,popsicle
lollipop on Monday,popsicle
lolly on Monday,popsicle
popsicle on Monday,popsicle
sweet on Monday,popsicle
dessert for Saturday,popsicle
frozen for Saturday,popsicle
ice lolly for Saturday,popsicle
lollipop for Saturday,popsicle
