text,label
collect,jug-bottle
container,jug-bottle
jug,jug-bottle
plastics,jug-bottle
recycle,jug-bottle
bottle,jug-bottle
jug bottle,jug-bottle
collect am Wochenende,jug-bottle
container am Wochenende,jug-bottle
jug am Wochenende,jug-bottle
plastics am Wochenende,jug-bottle
recycle am Wochenende,jug-bottle
bottle am Wochenende,jug-bottle
jug bottle am Wochenende,jug-bottle
collect online prüfen,jug-bottle
container online prüfen,jug-bottle
jug online prüfen,jug-bottle
plastics online prüfen,jug-bottle
recycle online prüfen,jug-bottle
bottle online prüfen,jug-bottle
jug bottle online prüfen,jug-bottle
collect für die Reise,jug-bottle
container für die Reise,jug-bottle
jug für die Reise,jug-bottle
plastics für die Reise,jug-bottle
recycle für die Reise,jug-bottle
bottle für die Reise,jug-bottle
jug bottle für die Reise,jug-bottle
collect abends,jug-bottle
container abends,jug-bottle
jug abends,jug-bottle
plastics abends,jug-bottle
recycle abends,jug-bottle
bottle abends,jug-bottle
jug bottle abends,jug-bottle
collect nicht vergessen,jug-bottle
container nicht vergessen,jug-bottle
jug nicht vergessen,jug-bottle
plastics nicht vergessen,jug-bottle
recycle nicht vergessen,jug-bottle
bottle nicht vergessen,jug-bottle
jug bottle nicht vergessen,jug-bottle
collect heute,jug-bottle
container heute,jug-bottle
jug heute,jug-bottle
plastics heute,jug-bottle
recycle heute,jug-bottle
bottle heute,jug-bottle
jug bottle heute,jug-bottle
collect nach der Arbeit,jug-bottle
container nach der Arbeit,jug-bottle
jug nach der Arbeit,jug-bottle
plastics nach der Arbeit,jug-bottle
recycle nach der Arbeit,jug-bottle
bottle nach der Arbeit,jug-bottle
bottel,jug-bottle
btotle abends,jug-bottle
bottle online prüüfen,jug-bottle
colect online prüfen,jug-bottle
bottle am Wocchenende,jug-bottle
