text,label
berry,strawberry
fruit,strawberry
juice,strawberry
seed,strawberry
strawberry,strawberry
summer,strawberry
berry para el viaje,strawberry
fruit para el viaje,strawberry
juice para el viaje,strawberry
seed para el viaje,strawberry
strawberry para el viaje,strawberry
summer para el viaje,strawberry
berry hoy,strawberry
fruit hoy,strawberry
juice hoy,strawberry
seed hoy,strawberry
strawberry hoy,strawberry
summer hoy,strawberry
berry el lunes,strawberry
fruit el lunes,strawberry
juice el lunes,strawberry
seed el lunes,strawberry
strawberry el lunes,strawberry
summer el lunes,strawberry
berry para los niños,strawberry
fruit para los niños,strawberry
juice para los niños,strawberry
seed para los niños,strawberry
strawberry para los niños,strawberry
summer para los niños,strawberry
cancelar berry,strawberry
cancelar fruit,strawberry
cancelar juice,strawberry
cancelar seed,strawberry
cancelar strawberry,strawberry
cancelar summer,strawberry
cancelar el berry,strawberry
cancelar el fruit,strawberry
cancelar el juice,strawberry
cancelar el seed,strawberry
cancelar el strawberry,strawberry
cancelar el summer,strawberry
berry para el sábado,strawberry
fruit para el sábado,strawberry
juice para el sábado,strawberry
seed para el sábado,strawberry
strawberry para el sábado,strawberry
summer para el sábado,strawberry
berry semanal,strawberry
fruit semanal,strawberry
juice semanal,strawberry
seed semanal,strawberry
strawberry semanal,strawberry
summer semanal,strawberry
no olvidar berry,strawberry
cancelar straberry,strawberry
see para los niños,strawberry
strawbeerry semanal,strawberry
fruit ell lunes,strawberry
strawbberry para el sábado,strawberry
