text,label
garment,shirt
shirt,shirt
short sleeve,shirt
t-shirt,shirt
tshirt,shirt
clothing item hung in wardrobe,shirt
folded clothing on store shelf,shirt
fashion shirt from designer collection,shirt
fashion clothing brand t-shirt,shirt
cotton garment folded in drawer,shirt
garment labeled with size and care,shirt
casual shirt for everyday wear,shirt
button-down shirt for smart casual,shirt
short sleeve casual top,shirt
t-shirt with logo print on chest,shirt
plain white t-shirt basic wardrobe,shirt
tshirt folded in clothing drawer,shirt
crew neck tshirt in solid color,shirt
plain white t-shirt hanging on hanger,shirt
graphic tee with print on front,shirt
polo shirt with collar and buttons,shirt
dress shirt with long sleeves and cuffs,shirt
vintage band t-shirt from concert,shirt
sports jersey shirt for team,shirt
linen shirt for beach vacation,shirt
shirt folded and packaged for shipping,shirt
custom embroidered company shirt,shirt
children's school uniform shirt,shirt
plain white t-shrit hanging on hanger,shirt
graphci tee with print on front,shirt
polo shrit with collar and buttons,shirt
vinatge band t-shirt from concert,shirt
clothing,shirt
fashion,shirt
clothing on Monday,shirt
fashion on Monday,shirt
garment on Monday,shirt
shirt on Monday,shirt
short sleeve on Monday,shirt
t-shirt on Monday,shirt
tshirt on Monday,shirt
book clothing,shirt
book fashion,shirt
book garment,shirt
book shirt,shirt
book short sleeve,shirt
book t-shirt,shirt
book tshirt,shirt
evening clothing,shirt
evening fashion,shirt
evening garment,shirt
evening shirt,shirt
evening short sleeve,shirt
evening t-shirt,shirt
evening tshirt,shirt
clothing after work,shirt
fashion after work,shirt
garment after work,shirt
shirt after work,shirt
short sleeve after work,shirt
