text,label
bucket,bucket
pail,bucket
sandcastle,bucket
fill a bucket with water,bucket
grab the pail for cleaning,bucket
build a sandcastle at the beach,bucket
Build a sandcastle at the beach,bucket
Fill the bucket for mopping,bucket
Grab a bucket and mop the floor,bucket
Beach day with buckets for the kids,bucket
Bucket of ice for the party,bucket
Collect rainwater in the bucket,bucket
Fill the bucket at the tap,bucket
Take the buckets to the beach,bucket
Ice bucket challenge,bucket
Mop and bucket for the kitchen floor,bucket
I need a bucket to clean this up,bucket
The kids want to build sandcastles,bucket
Let's grab a bucket and clean the floor,bucket
Perfect beach day for sandcastles,bucket
Bild a sandcaslte at the beech,bucket
Fil the buket for moping,bucket
Grab a buket and mop the flor,bucket
Beket of ice for the praty,bucket
Ice bucket challenge video this afternoon,bucket
Pail full of soapy water for the car wash,bucket
Sandcastle competition at the beach,bucket
