text,label
fish,sushi-roll
maki,sushi-roll
nori,sushi-roll
raw,sushi-roll
rice,sushi-roll
salmon,sushi-roll
seafood,sushi-roll
seaweed,sushi-roll
tuna,sushi-roll
sushi,sushi-roll
roll,sushi-roll
sushi roll,sushi-roll
fish lernen,sushi-roll
maki lernen,sushi-roll
nori lernen,sushi-roll
raw lernen,sushi-roll
rice lernen,sushi-roll
salmon lernen,sushi-roll
seafood lernen,sushi-roll
seaweed lernen,sushi-roll
tuna lernen,sushi-roll
sushi lernen,sushi-roll
roll lernen,sushi-roll
sushi roll lernen,sushi-roll
fish erledigen,sushi-roll
maki erledigen,sushi-roll
nori erledigen,sushi-roll
raw erledigen,sushi-roll
rice erledigen,sushi-roll
salmon erledigen,sushi-roll
seafood erledigen,sushi-roll
seaweed erledigen,sushi-roll
tuna erledigen,sushi-roll
sushi erledigen,sushi-roll
roll erledigen,sushi-roll
sushi roll erledigen,sushi-roll
fish abends,sushi-roll
maki abends,sushi-roll
nori abends,sushi-roll
raw abends,sushi-roll
rice abends,sushi-roll
salmon abends,sushi-roll
seafood abends,sushi-roll
seaweed abends,sushi-roll
tuna abends,sushi-roll
sushi abends,sushi-roll
roll abends,sushi-roll
sushi roll abends,sushi-roll
fish morgens,sushi-roll
maki morgens,sushi-roll
nori morgens,sushi-roll
raw morgens,sushi-roll
rice morgens,sushi-roll
salmon morgens,sushi-roll
seafood morgens,sushi-roll
suushi roll abends,sushi-roll
roll lerenn,sushi-roll
fish mogens,sushi-roll
maik abends,sushi-roll
seafood leren,sushi-roll
