text,label
cancer,crab
claws,crab
crabmeat,crab
crustacean,crab
seafood,crab
shellfish,crab
zodiac,crab
crab,crab
cancer semanal,crab
claws semanal,crab
crabmeat semanal,crab
crustacean semanal,crab
seafood semanal,crab
shellfish semanal,crab
zodiac semanal,crab
crab semanal,crab
no olvidar cancer,crab
no olvidar claws,crab
no olvidar crabmeat,crab
no olvidar crustacean,crab
no olvidar seafood,crab
no olvidar shellfish,crab
no olvidar zodiac,crab
no olvidar crab,crab
configurar cancer pronto,crab
configurar claws pronto,crab
configurar crabmeat pronto,crab
configurar crustacean pronto,crab
configurar seafood pronto,crab
configurar shellfish pronto,crab
configurar zodiac pronto,crab
configurar crab pronto,crab
configurar cancer en línea,crab
configurar claws en línea,crab
configurar crabmeat en línea,crab
configurar crustacean en línea,crab
configurar seafood en línea,crab
configurar shellfish en línea,crab
configurar zodiac en línea,crab
configurar crab en línea,crab
cancer por la mañana,crab
claws por la mañana,crab
crabmeat por la mañana,crab
crustacean por la mañana,crab
seafood por la mañana,crab
shellfish por la mañana,crab
zodiac por la mañana,crab
crab por la mañana,crab
terminar cancer,crab
terminar claws,crab
terminar crabmeat,crab
terminar crustacean,crab
terminar seafood,crab
terminar shellfish,crab
terminar zodiac,crab
configurar zoiac pronto,crab
configurar cabmeat pronto,crab
crustacean por la maññana,crab
shellfish por la maañna,crab
zodiiac por la mañana,crab
