text,label
buy,basket-shopping
checkout,basket-shopping
grocery,basket-shopping
payment,basket-shopping
purchase,basket-shopping
basket,basket-shopping
shopping,basket-shopping
basket shopping,basket-shopping
buy am Montag,basket-shopping
checkout am Montag,basket-shopping
grocery am Montag,basket-shopping
payment am Montag,basket-shopping
purchase am Montag,basket-shopping
basket am Montag,basket-shopping
shopping am Montag,basket-shopping
basket shopping am Montag,basket-shopping
wöchentlich buy,basket-shopping
wöchentlich checkout,basket-shopping
wöchentlich grocery,basket-shopping
wöchentlich payment,basket-shopping
wöchentlich purchase,basket-shopping
wöchentlich basket,basket-shopping
wöchentlich shopping,basket-shopping
wöchentlich basket shopping,basket-shopping
mit buy anfangen,basket-shopping
mit checkout anfangen,basket-shopping
mit grocery anfangen,basket-shopping
mit payment anfangen,basket-shopping
mit purchase anfangen,basket-shopping
mit basket anfangen,basket-shopping
mit shopping anfangen,basket-shopping
mit basket shopping anfangen,basket-shopping
buy erledigen,basket-shopping
checkout erledigen,basket-shopping
grocery erledigen,basket-shopping
payment erledigen,basket-shopping
purchase erledigen,basket-shopping
basket erledigen,basket-shopping
shopping erledigen,basket-shopping
basket shopping erledigen,basket-shopping
buy abends,basket-shopping
checkout abends,basket-shopping
grocery abends,basket-shopping
payment abends,basket-shopping
purchase abends,basket-shopping
basket abends,basket-shopping
shopping abends,basket-shopping
basket shopping abends,basket-shopping
buy für die Kinder,basket-shopping
checkout für die Kinder,basket-shopping
grocery für die Kinder,basket-shopping
payment für die Kinder,basket-shopping
purchase für die Kinder,basket-shopping
basket für die Kinder,basket-shopping
shopping für die Kinder,basket-shopping
wöchentlihc payment,basket-shopping
checkout für die Knder,basket-shopping
purchasee erledigen,basket-shopping
mi shopping anfangen,basket-shopping
buy heute,basket-shopping
