text,label
банан,banana
фрукт,banana
кожура,banana
плантан,banana
калий,banana
спелый желтый банан из связки,banana
банановый сплит с мороженым,banana
тропический фруктовый салат с манго,banana
корзина фруктов с разными продуктами,banana
скользкая банановая кожура на полу,banana
очистить банан чтобы съесть,banana
зеленый платан жарят как гарнир,banana
чипсы из плантана запечены с приправами,banana
банан богат калием для спортсменов,banana
источник калия в полезном рационе,banana
желтый изогнутый банан с коричневым пятном,banana
связка бананов висит на рынке,banana
очищенный банан наполовину съеден как перекус,banana
эмодзи банана для дневника еды,banana
спелый банан размят для бананового хлеба,banana
замороженный банан взбит в смузи,banana
банановый сплит с шоколадом и орехами,banana
запеченный платан рядом с основным блюдом,banana
спортсмен ест банан в перерыве,banana
тропический плод банановой пальмы для recipe app,banana
показать банан в разделе тропических фруктов,banana
спелый банан из фруктовой миски,banana
желтый банан лежит на столе,banana
банановая кожура как скользкая ловушка,banana
банан с калием для бегунов,banana
желтый серп луны ночью,banana
ананас с колючей короной,banana
манго как желтый тропический фрукт,banana
желтый лимон для готовки,banana
початок кукурузы с зеленой оберткой,banana
хот-дог в булочке на тарелке,banana
