text,label
apple,apple-whole
fall,apple-whole
fruit,apple-whole
fuji,apple-whole
green,apple-whole
green apple,apple-whole
macintosh,apple-whole
orchard,apple-whole
red,apple-whole
red apple,apple-whole
seasonal,apple-whole
vegan,apple-whole
whole,apple-whole
apple whole,apple-whole
mettre à jour apple,apple-whole
mettre à jour fall,apple-whole
mettre à jour fruit,apple-whole
mettre à jour fuji,apple-whole
mettre à jour green,apple-whole
mettre à jour green apple,apple-whole
mettre à jour macintosh,apple-whole
mettre à jour orchard,apple-whole
mettre à jour red,apple-whole
mettre à jour red apple,apple-whole
mettre à jour seasonal,apple-whole
mettre à jour vegan,apple-whole
mettre à jour whole,apple-whole
mettre à jour apple whole,apple-whole
ne pas oublier apple,apple-whole
ne pas oublier fall,apple-whole
ne pas oublier fruit,apple-whole
ne pas oublier fuji,apple-whole
ne pas oublier green,apple-whole
ne pas oublier green apple,apple-whole
ne pas oublier macintosh,apple-whole
ne pas oublier orchard,apple-whole
ne pas oublier red,apple-whole
ne pas oublier red apple,apple-whole
ne pas oublier seasonal,apple-whole
ne pas oublier vegan,apple-whole
ne pas oublier whole,apple-whole
ne pas oublier apple whole,apple-whole
finir apple,apple-whole
finir fall,apple-whole
finir fruit,apple-whole
finir fuji,apple-whole
finir green,apple-whole
finir green apple,apple-whole
finir macintosh,apple-whole
finir orchard,apple-whole
finir red,apple-whole
finir red apple,apple-whole
finir seasonal,apple-whole
finir vegan,apple-whole
finir whole,apple-whole
mettre à jourr red,apple-whole
finir vgean,apple-whole
applle whole,apple-whole
ne pas oublier reed,apple-whole
apple rendez-vous,apple-whole
