text,label
зарядка машины,charging-station
зарядка,charging-station
электромобиль,charging-station
тесла,charging-station
Разъём зарядки машины на парковке,charging-station
Кабель зарядки для дорожной поездки,charging-station
Зарядить электромобиль перед выездом,charging-station
Оценить время зарядки электромобиля,charging-station
Зарядная станция поблизости,charging-station
Зарядка машины дома ночью,charging-station
Карта сети зарядки электромобилей,charging-station
Проверка уровня заряда электромобиля,charging-station
Бронирование зарядной станции,charging-station
Аккумулятор электромобиля заряжен на станции,charging-station
Остановка на суперчаргере Tesla по маршруту,charging-station
Время зарядки Tesla на станции,charging-station
Проверка совместимости разъёма зарядки,charging-station
Статус зарядки транспортного средства,charging-station
Сессия зарядки электромобиля в процессе,charging-station
Подключить машину к зарядной точке,charging-station
Время ожидания на зарядной станции,charging-station
Проверить запас хода перед дальней поездкой,charging-station
Установка домашней зарядки,charging-station
Пополнить заряд на трассе,charging-station
Запланировать ночную зарядку,charging-station
Расчёт стоимости зарядки,charging-station
нужно зарядить электромобиль перед поездкой,charging-station
найти зарядку в этом городе сложно,charging-station
подключён и заряжается,charging-station
сколько до полного заряда машины,charging-station
найти блжайшую зарядную станцию,charging-station
подключить машину к зарядной точкие,charging-station
установка домашней зарядки для электромобля,charging-station
пополнить заряд на трасе,charging-station
Кабель зарядки телефона на столе,charging-station
Адаптер питания ноутбука для офиса,charging-station
Прикурка аккумулятора на парковке,charging-station
Заправочная станция на трассе,charging-station
Массив солнечных панелей на крыше,charging-station
Павербанк для похода,charging-station
