text,label
blt,tomato
fresh,tomato
fruit,tomato
garden,tomato
salad,tomato
summer,tomato
tomato,tomato
vegetable,tomato
blt sandwich with fresh tomato slices,tomato
ripe tomato for a classic blt,tomato
fresh tomato from the garden vine,tomato
fresh tomato on a cutting board,tomato
technically a fruit mistaken for a vegetable,tomato
fruit salad with cherry tomatoes,tomato
garden tomato picked at peak ripeness,tomato
home garden with rows of tomato plants,tomato
sliced tomato in a caprese salad,tomato
salad with cherry tomatoes and basil,tomato
summer harvest of red ripe tomatoes,tomato
summer garden full of juicy tomatoes,tomato
round red tomato with a green stem,tomato
tomato juice squeezed fresh,tomato
vegetable section with tomatoes in a grocery app,tomato
vegetable icon for a recipe tracker,tomato
round red tomato with a bright green stem,tomato
slicing a fresh tomato for a salad,tomato
food icon for a recipe or grocery app,tomato
ripe tomato with a shiny smooth skin,tomato
roasting cherry tomatoes with olive oil and garlic,tomato
vegetable icon in a meal planning dashboard,tomato
cluster of cherry tomatoes on the vine,tomato
tomato sauce simmering for a pasta dinner,tomato
ingredient icon for an Italian food recipe,tomato
tomato cut in half showing the seeds inside,tomato
I need a tomato icon for my recipe tracker app,tomato
add a tomato symbol to the vegetable category,tomato
show a tomato for the fresh produce section,tomato
use the tomato icon for the garden harvest feature,tomato
tomatoe ripening on the vine,tomato
tomoto sliced for a salad,tomato
tmoato in a pasta sauce,tomato
tomato withoutt the stem,tomato
red bell pepper with a green stem and seeds inside,tomato
roasted red pepper in a sandwich,tomato
purple eggplant with a long green stem,tomato
sliced eggplant grilling on a hot pan,tomato
bunch of red cherries with stems attached,tomato
cherry on top of an ice cream sundae,tomato
