text,label
agriculture,tractor
farm,tractor
tractor,tractor
vehicle,tractor
nouveau agriculture,tractor
nouveau farm,tractor
nouveau tractor,tractor
nouveau vehicle,tractor
agriculture ce week-end,tractor
farm ce week-end,tractor
tractor ce week-end,tractor
vehicle ce week-end,tractor
agriculture après le travail,tractor
farm après le travail,tractor
tractor après le travail,tractor
vehicle après le travail,tractor
installer agriculture bientôt,tractor
installer farm bientôt,tractor
installer tractor bientôt,tractor
installer vehicle bientôt,tractor
agriculture rendez-vous,tractor
farm rendez-vous,tractor
tractor rendez-vous,tractor
vehicle rendez-vous,tractor
installer agriculture,tractor
installer farm,tractor
installer tractor,tractor
installer vehicle,tractor
agriculture pour samedi,tractor
farm pour samedi,tractor
tractor pour samedi,tractor
vehicle pour samedi,tractor
finir agriculture,tractor
finir farm,tractor
finir tractor,tractor
finir vehicle,tractor
agriculture hebdomadaire,tractor
farm hebdomadaire,tractor
tractor hebdomadaire,tractor
vehicle hebdomadaire,tractor
agriculture pour le voyage,tractor
farm pour le voyage,tractor
tractor pour le voyage,tractor
vehicle pour le voyage,tractor
agriculture demain,tractor
farm demain,tractor
tractor demain,tractor
vehicle demain,tractor
commencer agriculture,tractor
commencer farm,tractor
commencer tractor,tractor
commencer vehicle,tractor
installer agriculture en ligne,tractor
installer farm en ligne,tractor
installer tractor en ligne,tractor
fiinir farm,tractor
fram ce week-end,tractor
agricultrue pour samedi,tractor
installer tratcor bientôt,tractor
vehiccle pour samedi,tractor
