text,label
рыба,sushi-roll
маки,sushi-roll
нори,sushi-roll
сырой,sushi-roll
рис,sushi-roll
лосось,sushi-roll
морепродукты,sushi-roll
морская капуста,sushi-roll
тунец,sushi-roll
рыба внутри суши-ролла,sushi-roll
жареный рыбный ролл хрустящий,sushi-roll
маки-ролл нарезанный на кусочки,sushi-roll
разнообразие маки суши тарелка,sushi-roll
нори снаружи ролла,sushi-roll
ролл из морских водорослей нори,sushi-roll
сырая рыба завёрнутая в рис,sushi-roll
сырые ингредиенты внутри ролла,sushi-roll
рис завёрнутый в лист нори,sushi-roll
суши-ролл клейкий рис,sushi-roll
ролл с лососем и огурцом наоборот,sushi-roll
ролл с острым лососем,sushi-roll
начинка из морепродуктов внутри маки,sushi-roll
ассорти морепродуктов суши-ролл,sushi-roll
морские водоросли снаружи суши-ролла,sushi-roll
обёртка из водорослей маки,sushi-roll
ролл с тунцом и авокадо классический,sushi-roll
острый ролл с тунцом в меню,sushi-roll
маки суши-ролл нарезан на шесть кусочков,sushi-roll
ролл калифорния наизнанку с тобико,sushi-roll
острый ролл с тунцом в меню,sushi-roll
ролл дракон с авокадо сверху,sushi-roll
ролл радуга разные виды рыбы,sushi-roll
суши-рис внутри листа нори плотно скрученный,sushi-roll
суши-ролл на деревянной доске с имбирём,sushi-roll
суши на вынос пластиковый лоток,sushi-roll
шеф скручивает суши бамбуковым ковриком,sushi-roll
вегетарианский суши-ролл огурец авокадо,sushi-roll
нужна иконка суши-ролла для японского меню,sushi-roll
добавь символ маки-ролла в раздел ресторанов,sushi-roll
покажи суши-ролл для категории азиатской кухни,sushi-roll
используй иконку суши-ролла для доставки еды,sushi-roll
суши-ролл маки,sushi-roll
ролл суши лосось,sushi-roll
ролл в водорослях,sushi-roll
маки ролл тунец,sushi-roll
нигири суши спрессованный рис без ролла,sushi-roll
сашими нарезанная рыба без риса без водорослей,sushi-roll
тэмаки ролл в форме конуса,sushi-roll
свежий весенний ролл рисовая бумага вьетнамский,sushi-roll
буррито лепёшка ролл мексиканский,sushi-roll
блинчик тонкий свёрнутый,sushi-roll
