text,label
bath,duck
bird,duck
duck,duck
fauna,duck
quack,duck
rubber,duck
bath rendez-vous,duck
bird rendez-vous,duck
duck rendez-vous,duck
fauna rendez-vous,duck
quack rendez-vous,duck
rubber rendez-vous,duck
bath lundi,duck
bird lundi,duck
duck lundi,duck
fauna lundi,duck
quack lundi,duck
rubber lundi,duck
bath pour samedi,duck
bird pour samedi,duck
duck pour samedi,duck
fauna pour samedi,duck
quack pour samedi,duck
rubber pour samedi,duck
bath ce week-end,duck
bird ce week-end,duck
duck ce week-end,duck
fauna ce week-end,duck
quack ce week-end,duck
rubber ce week-end,duck
acheter bath,duck
acheter bird,duck
acheter duck,duck
acheter fauna,duck
acheter quack,duck
acheter rubber,duck
bath pour les enfants,duck
bird pour les enfants,duck
duck pour les enfants,duck
fauna pour les enfants,duck
quack pour les enfants,duck
rubber pour les enfants,duck
ne pas oublier bath,duck
ne pas oublier bird,duck
ne pas oublier duck,duck
ne pas oublier fauna,duck
ne pas oublier quack,duck
ne pas oublier rubber,duck
finir bath,duck
finir bird,duck
finir duck,duck
finir fauna,duck
finir quack,duck
finir rubber,duck
acheter le bath,duck
finir fauuna,duck
ne psa oublier rubber,duck
acheetr rubber,duck
acheetr quack,duck
ruber,duck
