text,label
ac,fan
air conditioning,fan
blade,fan
blower,fan
Turn on the AC to cool down,fan
Turn on the air conditioning,fan
Service the air conditioning unit,fan
Clean the fan blade,fan
Replace a broken blade,fan
Use the blower to cool the room,fan
Set the blower speed,fan
Cool off in the hot weather,fan
Stay cool when it's hot outside,fan
Cool down on a hot day,fan
Set the fan to high speed,fan
Cool the bedroom with a fan,fan
Turn on the AC for the heat wave,fan
Use a desk fan while working,fan
Set up the fan in the living room,fan
Replace the old fan,fan
Turn on the fan,fan
So hot today,fan
Cool the room,fan
AC on,fan
trun on the ceeling fan,fan
set the ac tempratrue,fan
clen the fan blaeds,fan
buy a portble fan,fan
