text,label
кнопка,toggle-off
выкл,toggle-off
кнопка переключатель выкл отключён,toggle-off
переключатель в положении выкл,toggle-off
выключатель в выключенном положении,toggle-off
выкл состояние серый переключатель,toggle-off
переключатель вкл выкл управление,toggle-off
UI переключатель вкл выкл,toggle-off
переключатель настройки выключен,toggle-off
переключатель уведомлений выкл,toggle-off
серый переключатель в положении выкл,toggle-off
переключатель уведомлений выключен,toggle-off
функция отключена переключатель выкл,toggle-off
тёмный режим переключатель выкл светлый режим,toggle-off
настройка приватности переключатель выкл,toggle-off
режим полёта переключатель выкл,toggle-off
Bluetooth переключатель выключен,toggle-off
автоматические обновления переключатель выкл,toggle-off
Wi-Fi переключатель выкл,toggle-off
отключить звук переключатель выкл,toggle-off
переключатель выкл кнопка,toggle-off
выключтель выкл настройки,toggle-off
переклюачтель отключён,toggle-off
отключнный переключатель,toggle-off
переключатель вкл зелёный активный,toggle-off
чекбокс не выбран пустой,toggle-off
радиокнопка не выбрана,toggle-off
кнопка питания выкл удерживать,toggle-off
выключатель стены свет,toggle-off
ползунок ноль выкл позиция,toggle-off
