text,label
crosswalk,person-walking
exercise,person-walking
follow,person-walking
hike,person-walking
move,person-walking
person walking,person-walking
uer,person-walking
ウォーク,person-walking
walking,person-walking
workout,person-walking
person,person-walking
そろそろcrosswalk,person-walking
そろそろexercise,person-walking
そろそろfollow,person-walking
そろそろhike,person-walking
そろそろmove,person-walking
そろそろperson walking,person-walking
そろそろuer,person-walking
そろそろウォーク,person-walking
そろそろwalking,person-walking
そろそろworkout,person-walking
そろそろperson,person-walking
土曜日にcrosswalk,person-walking
土曜日にexercise,person-walking
土曜日にfollow,person-walking
土曜日にhike,person-walking
土曜日にmove,person-walking
土曜日にperson walking,person-walking
土曜日にuer,person-walking
土曜日にウォーク,person-walking
土曜日にwalking,person-walking
土曜日にworkout,person-walking
土曜日にperson,person-walking
crosswalkを忘れないで,person-walking
exerciseを忘れないで,person-walking
followを忘れないで,person-walking
hikeを忘れないで,person-walking
moveを忘れないで,person-walking
person walkingを忘れないで,person-walking
uerを忘れないで,person-walking
ウォークを忘れないで,person-walking
walkingを忘れないで,person-walking
workoutを忘れないで,person-walking
personを忘れないで,person-walking
crosswalkを練習する,person-walking
exerciseを練習する,person-walking
followを練習する,person-walking
hikeを練習する,person-walking
moveを練習する,person-walking
person walkingを練習する,person-walking
uerを練習する,person-walking
ウォークを練習する,person-walking
walkingを練習する,person-walking
workoutを練習する,person-walking
personを練習する,person-walking
hikeを忘れなでい,person-walking
土曜日にwaking,person-walking
person walkingを習する,person-walking
exrciseを忘れないで,person-walking
crosswalkの予約,person-walking
