text,label
бочка,wave
пляж,wave
прибой,wave
берег,wave
серфинг,wave
цунами,wave
волна,wave
трубчатая волна образует идеальный бэррел,wave
проезд внутри гребня трубчатой волны,wave
пляжные волны разбиваются о песок,wave
пляжный отдых с накатывающим прибоем,wave
волна разбивается о скалистый берег,wave
точка прибоя где серфингисты ждут волну,wave
пенный берег где волны встречаются с сушей,wave
прогулка по берегу под накатывающие волны,wave
сёрф-сессия на больших волнах,wave
прогноз волн с высотой зыби,wave
огромная волна цунами приближается к берегу,wave
предупреждение о цунами объявлено для прибрежных районов,wave
круги на воде расходятся в стороны,wave
морское течение движется в океане,wave
гребень океанской волны поднимается и опускается,wave
волнообразный декоративный узор,wave
закручивающаяся океанская волна с белым пенным гребнем,wave
серфер едет внутри бэррела большой волны,wave
иконка волны для приложения пляжа или прогноза сёрфинга,wave
оповещение о цунами с символом огромной волны,wave
тихие волны у берега набегают на песок,wave
океанская зыбь нарастает вдали перед тем как разбиться,wave
волнообразный узор как декоративный разделитель,wave
синяя волна для переписки и стикеров,wave
штормовая волна разбивается о морскую стену,wave
измерение высоты волн в отчёте по серфингу,wave
серфинг внутри трубы на точке,wave
океанская волна разбивается о пляж,wave
предупреждение о цунами на побережье,wave
прогноз серфинга для больших волн,wave
