text,label
drugs,pills
medicine,pills
prescription,pills
tablets,pills
pills,pills
drugs für Samstag,pills
medicine für Samstag,pills
prescription für Samstag,pills
tablets für Samstag,pills
pills für Samstag,pills
drugs nicht vergessen,pills
medicine nicht vergessen,pills
prescription nicht vergessen,pills
tablets nicht vergessen,pills
pills nicht vergessen,pills
drugs für die Kinder,pills
medicine für die Kinder,pills
prescription für die Kinder,pills
tablets für die Kinder,pills
pills für die Kinder,pills
drugs abends,pills
medicine abends,pills
prescription abends,pills
tablets abends,pills
pills abends,pills
drugs nach der Arbeit,pills
medicine nach der Arbeit,pills
prescription nach der Arbeit,pills
tablets nach der Arbeit,pills
pills nach der Arbeit,pills
wöchentlich drugs,pills
wöchentlich medicine,pills
wöchentlich prescription,pills
wöchentlich tablets,pills
wöchentlich pills,pills
drugs am Wochenende,pills
medicine am Wochenende,pills
prescription am Wochenende,pills
tablets am Wochenende,pills
pills am Wochenende,pills
drugs erledigen,pills
medicine erledigen,pills
prescription erledigen,pills
tablets erledigen,pills
pills erledigen,pills
drugs morgen,pills
medicine morgen,pills
prescription morgen,pills
tablets morgen,pills
pills morgen,pills
drugs heute,pills
medicine heute,pills
prescription heute,pills
tablets heute,pills
pills heute,pills
pills nach der Areit,pills
meddicine für Samstag,pills
pill nicht vergessen,pills
prescritpion für die Kinder,pills
drus morgen,pills
