text,label
рак,smoking
сигарета,smoking
никотин,smoking
курение,smoking
табак,smoking
риск рака легких связан с курением,smoking
предупреждение о раке на пачке сигарет,smoking
зажженная сигарета с поднимающимся дымом,smoking
пачка сигарет на деревянном столе,smoking
никотиновый пластырь как помощь для отказа,smoking
никотиновая зависимость в health app,smoking
знак no smoking у входа,smoking
иконка smoking для зоны курения,smoking
табачный дым заполняет комнату,smoking
предупреждение на табачном продукте,smoking
сигарета с горящим концом и дымом,smoking
индикатор no smoking в общественном месте,smoking
иконка здоровья для quit smoking app,smoking
силуэт сигареты с оранжевым огоньком,smoking
считать сигареты в quit smoking tracker,smoking
иконка табака и здоровья в medical reference app,smoking
окурок в пепельнице,smoking
записывать привычку курения чтобы бросить,smoking
иконка зависимости и wellness для health dashboard,smoking
символ smoking на знаке ограниченной зоны,smoking
нужна иконка smoking для quit smoking tracker,smoking
добавить символ smoking в раздел health habits,smoking
показать иконку smoking для знака no smoking,smoking
использовать иконку smoking для tobacco usage feature,smoking
трекер привычки курения,smoking
курить сигарету в зоне no smoking,smoking
курить снаружи здания,smoking
курение в запрещенной зоне,smoking
оранжевое пламя на фитиле свечи,smoking
костер с поленьями и углями,smoking
вейп-ручка с облаком пара,smoking
электронная сигарета заряжается на кабеле,smoking
предупреждающий треугольник с восклицанием,smoking
знак danger hazard в ограниченной зоне,smoking
