text,label
dinner,plate-utensils
food,plate-utensils
fork,plate-utensils
knife,plate-utensils
plate,plate-utensils
utensils,plate-utensils
plate utensils,plate-utensils
dinner le matin,plate-utensils
food le matin,plate-utensils
fork le matin,plate-utensils
knife le matin,plate-utensils
plate le matin,plate-utensils
utensils le matin,plate-utensils
plate utensils le matin,plate-utensils
commencer dinner,plate-utensils
commencer food,plate-utensils
commencer fork,plate-utensils
commencer knife,plate-utensils
commencer plate,plate-utensils
commencer utensils,plate-utensils
commencer plate utensils,plate-utensils
dinner après le travail,plate-utensils
food après le travail,plate-utensils
fork après le travail,plate-utensils
knife après le travail,plate-utensils
plate après le travail,plate-utensils
utensils après le travail,plate-utensils
plate utensils après le travail,plate-utensils
préparer le dinner,plate-utensils
préparer le food,plate-utensils
préparer le fork,plate-utensils
préparer le knife,plate-utensils
préparer le plate,plate-utensils
préparer le utensils,plate-utensils
préparer le plate utensils,plate-utensils
dinner pour les enfants,plate-utensils
food pour les enfants,plate-utensils
fork pour les enfants,plate-utensils
knife pour les enfants,plate-utensils
plate pour les enfants,plate-utensils
utensils pour les enfants,plate-utensils
plate utensils pour les enfants,plate-utensils
préparer dinner en ligne,plate-utensils
préparer food en ligne,plate-utensils
préparer fork en ligne,plate-utensils
préparer knife en ligne,plate-utensils
préparer plate en ligne,plate-utensils
préparer utensils en ligne,plate-utensils
préparer plate utensils en ligne,plate-utensils
préparer dinner,plate-utensils
préparer food,plate-utensils
préparer fork,plate-utensils
préparer knife,plate-utensils
préparer plate,plate-utensils
préparer utensils,plate-utensils
utensils aprèès le travail,plate-utensils
plate utensills pour les enfants,plate-utensils
knife le matn,plate-utensils
fork après le trvail,plate-utensils
dinner demain,plate-utensils
