text,label
Hang Christmas lights outside,lights-holiday
Buy LED Christmas lights,lights-holiday
Put up holiday decorations,lights-holiday
Take down the holiday decorations,lights-holiday
Celebrate the holiday season,lights-holiday
Plan a holiday party,lights-holiday
Hang string lights around the tree,lights-holiday
Buy string lights for the patio,lights-holiday
Decorate for Xmas,lights-holiday
Xmas light display,lights-holiday
Decorate the tree with string lights,lights-holiday
Buy new Christmas lights,lights-holiday
Put up the Christmas decorations,lights-holiday
Hang string lights on the patio,lights-holiday
Use timer for the holiday lights,lights-holiday
Replace broken Christmas lights,lights-holiday
Add lights to the holiday wreath,lights-holiday
Holiday lights!,lights-holiday
Xmas decorating,lights-holiday
Put up the lights,lights-holiday
String lights up,lights-holiday
hang chrismas lights outsdie,lights-holiday
put up holdiay decoratinos,lights-holiday
by new chrsitmas lights,lights-holiday
decroate for xmas,lights-holiday
twinkling LED string lights on the Christmas tree,lights-holiday
outdoor icicle lights hanging from the eaves,lights-holiday
timer-controlled holiday lights on the porch,lights-holiday
multicoloured fairy lights wound around the staircase,lights-holiday
warm-white holiday string lights for the patio,lights-holiday
solar-powered outdoor holiday string lights,lights-holiday
net lights draped over the garden bushes,lights-holiday
projection holiday lights on the house facade,lights-holiday
replace a broken bulb in the Christmas light strand,lights-holiday
wrapping the roofline with holiday lights,lights-holiday
holiday light show set to music,lights-holiday
string lights in festive red and green,lights-holiday
indoor holiday lights on a mantel garland,lights-holiday
holiday lights tangled in the storage box,lights-holiday
battery-operated fairy lights for the table centrepiece,lights-holiday
show festive lights for the holiday theme,lights-holiday
twinklng LED holiday lights on the tree,lights-holiday
outdoor icilce lights from the eaves,lights-holiday
multcolored fairy lghts on the staircase,lights-holiday
solar holidy string lights,lights-holiday
holiday lights shwo set to music,lights-holiday
brokn bulb in the Christmas lght strand,lights-holiday
bulb,lights-holiday
christmas,lights-holiday
decoration,lights-holiday
holiday,lights-holiday
string,lights-holiday
xmas,lights-holiday
lights,lights-holiday
lights holiday,lights-holiday
bulb after work,lights-holiday
christmas after work,lights-holiday
decoration after work,lights-holiday
holiday after work,lights-holiday
string after work,lights-holiday
