text,label
board,chess-board
checkmate,chess-board
Board game night with chess,chess-board
Set up the chess board on the table,chess-board
Checkmate the opponent in three moves,chess-board
Checkmate study for beginners,chess-board
Game of chess with the kids,chess-board
Online chess game against a friend,chess-board
Strategy session using chess thinking,chess-board
Chess strategy book for the weekend,chess-board
Set up the chess board for the match,chess-board
Practice chess openings this evening,chess-board
Chess tournament on Saturday,chess-board
Chess clock for the timed game,chess-board
Review the chess game notation,chess-board
Play chess online against a stranger,chess-board
Chess club meeting this week,chess-board
Analyse the game after the match,chess-board
got destroyed at chess last night,chess-board
chess puzzles are oddly addictive,chess-board
setting up the board for tonight,chess-board
can't believe I missed that checkmate,chess-board
ches tournament on satruday,chess-board
pratice chess openignss this evning,chess-board
chess puzzel to slove before bde,chess-board
teach the kods to play chses,chess-board
