text,label
ekg,heart-pulse
lifeline,heart-pulse
vital signs,heart-pulse
Get an EKG test done,heart-pulse
Check the EKG results,heart-pulse
Monitor heart health,heart-pulse
Check overall health,heart-pulse
Check the patient's lifeline,heart-pulse
Track fitness lifeline,heart-pulse
Check vital signs at the clinic,heart-pulse
Record vital signs,heart-pulse
Monitor heart health with a smartwatch,heart-pulse
Track fitness and heart rate,heart-pulse
Go to cardiology appointment,heart-pulse
Check blood pressure and pulse,heart-pulse
Book a heart health checkup,heart-pulse
Monitor vital signs at the hospital,heart-pulse
Use a fitness tracker for heart rate,heart-pulse
Check heart rate,heart-pulse
Cardio check,heart-pulse
Health checkup,heart-pulse
chekc heart rat at doctor,heart-pulse
moniotr heart helath,heart-pulse
get an ekeg test,heart-pulse
track fitnes heart rate,heart-pulse
electrocardiogram,heart-pulse
health,heart-pulse
heart,heart-pulse
pulse,heart-pulse
heart pulse,heart-pulse
need to find ekg,heart-pulse
need to find electrocardiogram,heart-pulse
need to find health,heart-pulse
need to find lifeline,heart-pulse
need to find vital signs,heart-pulse
need to find heart,heart-pulse
need to find pulse,heart-pulse
need to find heart pulse,heart-pulse
weekly ekg,heart-pulse
weekly electrocardiogram,heart-pulse
weekly health,heart-pulse
weekly lifeline,heart-pulse
weekly vital signs,heart-pulse
weekly heart,heart-pulse
weekly pulse,heart-pulse
weekly heart pulse,heart-pulse
ekg this weekend,heart-pulse
electrocardiogram this weekend,heart-pulse
health this weekend,heart-pulse
lifeline this weekend,heart-pulse
vital signs this weekend,heart-pulse
heart this weekend,heart-pulse
pulse this weekend,heart-pulse
heart pulse this weekend,heart-pulse
find ekg soon,heart-pulse
find electrocardiogram soon,heart-pulse
find health soon,heart-pulse
find lifeline soon,heart-pulse
find vital signs soon,heart-pulse
need to buy ekg,heart-pulse
