text,label
стеклянная банка,jar
открыть банку,jar
банка варенья,jar
сварить домашнее варенье,jar
хранить остатки в банке,jar
закрыть банку для консервирования,jar
банка mason на полке,jar
банка арахисовой пасты,jar
намазать желе на тост,jar
сложить печенье в банку,jar
хранить травы в стеклянной банке,jar
держать мелочь в банке,jar
насыпать конфеты в банку,jar
открыть банку солений,jar
консервация в банке,jar
подарить банку варенья,jar
купить набор стеклянных банок,jar
банка для фруктовых заготовок,jar
банка мёда на столе,jar
хранить сдачу в банке,jar
закрутить крышку банки,jar
банка томатного соуса,jar
стеклянная банка для кладовки,jar
держать фасоль в банке,jar
банка домашних солений,jar
наполнить банку печеньем,jar
поставить варенье на стол,jar
хранить чай в банке,jar
банка с металлической крышкой,jar
открыть банку желе,jar
держать орехи в банке,jar
заготовить фрукты в банках,jar
маленькая банка для специй,jar
банка для овсянки на ночь,jar
насыпать сахар в банку,jar
использовать пустую банку повторно,jar
помыть стеклянную банку,jar
банка с подписью в кладовке,jar
банка томатной пасты,jar
расставить банки в кладовке,jar
стеклянная банка для поделок,jar
банка солей для ванны,jar
плотно закрыть банку для заготовок,jar
поставить банку варенья на стол,jar
купить банку оливок,jar
