text,label
ball,futbol
football,futbol
mls,futbol
soccer,futbol
soccer ball,futbol
futbol,futbol
ball le matin,futbol
football le matin,futbol
mls le matin,futbol
soccer le matin,futbol
soccer ball le matin,futbol
futbol le matin,futbol
réparer ball bientôt,futbol
réparer football bientôt,futbol
réparer mls bientôt,futbol
réparer soccer bientôt,futbol
réparer soccer ball bientôt,futbol
réparer futbol bientôt,futbol
ball pour les enfants,futbol
football pour les enfants,futbol
mls pour les enfants,futbol
soccer pour les enfants,futbol
soccer ball pour les enfants,futbol
futbol pour les enfants,futbol
réparer ball en ligne,futbol
réparer football en ligne,futbol
réparer mls en ligne,futbol
réparer soccer en ligne,futbol
réparer soccer ball en ligne,futbol
réparer futbol en ligne,futbol
ball rendez-vous,futbol
football rendez-vous,futbol
mls rendez-vous,futbol
soccer rendez-vous,futbol
soccer ball rendez-vous,futbol
futbol rendez-vous,futbol
ball le soir,futbol
football le soir,futbol
mls le soir,futbol
soccer le soir,futbol
soccer ball le soir,futbol
futbol le soir,futbol
ball lundi,futbol
football lundi,futbol
mls lundi,futbol
soccer lundi,futbol
soccer ball lundi,futbol
futbol lundi,futbol
ne pas oublier ball,futbol
ne pas oublier football,futbol
ne pas oublier mls,futbol
ne pas oublier soccer,futbol
ne pas oublier soccer ball,futbol
ne pas oublier futbol,futbol
nouveau ball,futbol
mls pour les enfaants,futbol
nouveauu ball,futbol
futobl le matin,futbol
ball rendze-vous,futbol
ball rendez-vouus,futbol
